#source: http://tdc-www.harvard.edu/instruments/tres/thar/
#wavelength(Å) line
3868.5284 ArII
3873.8224 ThI
3874.8619 ThI
3886.9159 ThI
3891.9792 ArII
3895.4192 ThI
3898.4374 ThI
3903.1024 ThI
3911.9091 ThI
3916.4176 ThI
3925.0934 ThI
3925.7188 ArII
3928.6233 ArII
3929.6693 ThII
3944.2534 ThI
3946.1455 ThII
3948.0305 ThI
3950.3951 ThI
3961.5208 Th
3967.3921 ThI
3979.3559 ArII
4012.4952 ThI
4013.8566 ArII
4019.1289 ThII
4030.8424 ThI
4036.0479 ThI
4042.8937 ArII
4044.4179 ArI
4052.9208 ArII
4072.0047 ArII
4072.3849 ArII
4079.5738 ArII
4080.7058 ThI
4086.5205 ThII
4100.3414 ThI
4103.9121 ArII
4112.7545 ThI
4131.7235 ArII
4158.5905 ArI
4164.1795 ArI
4170.5333 ThI
4181.8836 ArI
4190.7129 ArI
4191.0294 ArI
4198.3170 ArI
4200.6745 ArI
4210.9232 ThI
4226.7267 ThII
4226.9876 ArII
4228.1580 ArII
4235.4636 ThI
4237.2198 ArII
4250.3146 ThI
4257.4963 ThI
4259.3619 ArI
4266.2864 ArI
4266.5271 ArII
4272.1689 ArI
4277.5282 ArII
4300.1008 ArI
4309.2392 ArII
4312.9975 ThI
4314.3195 ThI
4328.9154 ThI
4331.1995 ArII
4332.0297 ArII
4333.5612 ArI
4335.3379 ArI
4337.0708 ArII
4337.2774 ThI
4348.0640 ArII
4367.8316 ArII
4370.7532 ArII
4371.3290 ArII
4375.9542 ArII
4378.1768 ThI
4379.6668 ArII
4381.8601 ThII
4385.0566 ArII
4400.0968 ArII
4400.9863 ArII
4402.9271 ThI
4408.8828 ThI
4426.0011 ArII
4430.1890 ArII
4430.9963 ArII
4433.8380 ArII
4439.4614 ArII
4445.9012 ThI
4448.8792 ArII
4452.5655 ThI
4458.0015 ThI
4474.7594 ArII
4481.8107 ArII
4493.3337 ThI
4510.7332 ArI
4515.1182 ThI
4545.0519 ArII
4555.8127 ThI
4579.3495 ArII
4589.8978 ArII
4595.4206 ThI
4609.5673 ArII
4637.2328 ArII
4657.9012 ArII
4669.9842 ThI
4673.6609 ThI
4686.1946 ThI
4695.0381 ThI
4703.9898 ThI
4723.4382 ThI
4726.8683 ArII
4732.0532 ArII
4735.9058 ArII
4749.2002 ThI
4752.4141 ThII
4764.8646 ArII
4766.6006 ThI
4778.2940 ThI
4789.3868 ThI
4806.0205 ArII
4808.1337 ThI
4809.6140 ThI
4820.8847 ThI
4821.5878 ThI
4822.8548 ThI
4826.7004 ThI
4831.1213 ThI
4840.8492 ThI
4847.8095 ArII
4848.3625 ThI
4863.1724 ThII
4865.4775 ThI
4872.9169 ThI
4878.7330 ThI
4879.8635 ArII
4889.0422 ArII
4894.9551 ThI
4904.7516 ArII
4919.8157 ThII
4933.2091 ArII
4939.6422 ThI
4943.0642 ThI
4945.4587 ThI
4965.0795 ArII
4985.3725 ThI
5002.0972 ThI
5009.3344 ArII
5017.1628 ArII
5028.6556 ThI
5039.2303 ThI
5044.7195 ThI
5062.0371 ArII
5064.6020 ThI
5064.9454 ThI
5065.1926 ThI
5067.9737 ThI
5090.5455 ThI
5096.4848 ThI
5100.6211 ThI
5115.0448 ThI
5141.7827 ArII
5151.6120 ThI
5154.2430 ThI
5158.6041 ThI
5162.2846 ArI
5163.4584 ThI
5176.9610 ThI
5187.7462 ArI
5195.8136 ThI
5199.1637 ThI
5211.2305 ThI
5231.1597 ThI
5247.6547 ThII
5258.3602 ThI
5266.7103 ThI
5312.0018 ThI
5326.9756 ThI
5343.5812 ThI
5360.1501 ThI
5379.1105 ThI
5386.6107 ThI
5394.7608 ThI
5407.6535 ThI
5410.7687 ThI
5417.4858 ThI
5431.1120 ThI
5451.6520 ArI
5452.2187 ThI
5492.6435 ThI
5495.8738 ArI
5496.1370 ThI
5499.2554 ThI
5504.3018 ThI
5509.9938 ThI
5514.8731 ThI
5539.2618 ThI
5548.1758 ThI
5557.0454 ThI
5558.3422 ThI
5558.7020 ArI
5571.1913 ThI
5572.4649 ThI
5573.3535 ThI
5579.3583 ThI
5587.0263 ThI
5595.0635 ThI
5601.6032 ThI
5606.7330 ArI
5615.3195 ThI
5639.7461 ThII
5650.7043 ArI
5665.1799 ThI
5700.9176 ThII
5707.1033 ThII
5719.6227 ThI
5720.1828 ThI
5725.3885 ThI
5741.8290 ThI
5753.0265 ThI
5760.5508 ThI
5763.5290 ThI
5789.6451 ThI
5792.4304 ThI
5800.8297 ThI
5804.1412 ThI
5832.3705 ThI
5834.2633 ArI
5860.3103 ArI
5863.7184 ThI
5882.6242 ArI
5885.7016 ThI
5888.5841 ArI
5891.4510 ThI
5905.5707 ThI
5912.0853 ArI
5914.6709 Th
5928.8130 ArI
5938.4570 ThII
5938.8252 ThI
5944.6472 ThI
5973.6649 ThI
5975.0648 ThI
5989.0447 ThII
5991.0071 ThI
5994.1287 ThI
6005.1650 ThI
6007.0722 ThI
6010.1606 ThI
6021.0357 ThI
6032.1274 ArI
6037.6975 ThI
6043.2233 ArI
6049.0510 ThI
6059.3725 ArI
6085.3748 ThI
6088.0305 ThI
6098.8031 ArI
6099.0831 ThII
6101.7251 ThI
6105.6351 ArI
6114.9234 ArII
6145.4411 ArI
6151.9929 ThI
6164.4796 ThI
6169.8221 ThI
6170.1740 ArI
6172.2778 ArII
6182.6217 ThI
6188.1251 ThI
6191.9053 ThI
6198.2227 ThI
6203.4925 ThI
6207.2201 ThI
6224.5272 ThI
6226.3697 ThI
6234.8554 ThI
6257.4237 ThI
6261.0642 ThII
6261.4181 ThI
6296.8722 ArI
6307.6570 ArI
6326.3669 ThI
6327.2778 ThI
6342.8595 ThI
6348.7375 ThI
6371.9436 ThI
6376.9305 ThI
6384.7169 ArI
6411.8991 ThI
6416.3071 ArI
6457.2824 ThI
6483.0825 ArII
6490.7372 ThI
6512.3639 ThI
6531.3418 ThI
6554.1603 ThI
6577.2146 ThI
6583.9060 ThI
6588.5396 ThI
6591.4845 ThI
6593.9391 ThI
6604.8534 ArI
6643.6976 ArII
6662.2686 ThI
6674.6969 ThI
6677.2817 ArI
6684.2929 ArI
6719.1995 ThI
6727.4583 ThI
6752.8335 ArI
6756.4528 ThI
6766.6117 ArI
6780.4131 ThI
6787.7364 ThI
6829.0355 ThI
6861.2688 ArII
6871.2891 ArI
6874.7530 ThI
6888.1742 ArI
